VR7 Kronobergs läns valkrets;Vänsterpartiet;4300;4012;4757;4980;4992;5297;4413;6689;11677;7864;5481;5380;5459
VR7 Kronobergs läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;190;1808;3840;7424;18820
VR7 Kronobergs läns valkrets;övriga partier;266;294;443;121;220;159;9830;2093;1490;825;2034;1011;3225
VR7 Kronobergs läns valkrets;ogiltiga valsedlar;97;246;467;909;954;1325;2000;1855;2023;1690;2178;1576;1203
VR7 Kronobergs läns valkrets;ej röstande;10544;9575;11310;10998;13008;17590;16359;16625;23883;25711;23512;20692;18745
VR8 Kalmar läns valkrets;Moderaterna;22454;24843;30650;34480;32364;24839;28905;30044;26651;18331;31430;41631;32313
VR8 Kalmar läns valkrets;Centerpartiet;47022;48860;39438;35982;31499;28361;22839;20559;13409;15360;16306;13829;13867
VR8 Kalmar läns valkrets;Folkpartiet;8566;11059;11737;6481;16001;12684;9269;6910;4116;12865;7680;7847;5611
VR8 Kalmar läns valkrets;Kristdemokraterna;3765;3127;3069;3807;0;5549;12449;6880;19408;16112;10513;9341;7448
VR8 Kalmar läns valkrets;Miljöpartiet;0;0;0;2151;2102;6792;4297;6891;5669;5210;5687;8713;7435
VR8 Kalmar läns valkrets;Socialdemokraterna;68928;71489;72549;76527;75298;71092;62692;75379;57275;63089;61007;55116;56370
VR8 Kalmar läns valkrets;Vänsterpartiet;6075;5351;6513;6302;6263;7072;6099;8805;16742;10519;7426;7679;7235
VR8 Kalmar läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;163;1157;4675;8964;24260
VR8 Kalmar läns valkrets;övriga partier;316;246;501;151;281;278;11895;2956;2069;1585;2807;1616;4283
VR8 Kalmar läns valkrets;ogiltiga valsedlar;237;401;681;1441;1362;1709;2485;2343;3452;2334;2887;2193;1644
VR8 Kalmar läns valkrets;ej röstande;15140;13813;15646;15062;18460;24540;23650;23608;33677;34882;32527;27808;24586
