region;parti mm;1973;2014
0183 Sundbyberg;Socialdemokraterna;9481;7157
0183 Sundbyberg;Vänsterpartiet;1739;1835
0183 Sundbyberg;Sverigedemokraterna;0;2369
0183 Sundbyberg;övriga partier;212;1276
0183 Sundbyberg;ogiltiga valsedlar;62;206
0183 Sundbyberg;ej röstande;2021;4932
0184 Solna;Moderaterna;8406;13986
0184 Solna;Centerpartiet;6114;2294
0184 Solna;Folkpartiet;4257;3795
0184 Solna;Kristdemokraterna;390;2074
0184 Solna;Miljöpartiet;0;4687
0184 Solna;Socialdemokraterna;14265;10543
0184 Solna;Vänsterpartiet;3044;3113
0184 Solna;Sverigedemokraterna;0;3606
0184 Solna;övriga partier;433;2666
0184 Solna;ogiltiga valsedlar;91;281
0184 Solna;ej röstande;4005;7740
0186 Lidingö;Moderaterna;9115;13224
0186 Lidingö;Centerpartiet;3745;2074
0186 Lidingö;Folkpartiet;2647;3439
0186 Lidingö;Kristdemokraterna;120;2328
0186 Lidingö;Miljöpartiet;0;1899
0186 Lidingö;Socialdemokraterna;5251;3238
0186 Lidingö;Vänsterpartiet;1166;606
0186 Lidingö;Sverigedemokraterna;0;1900
0186 Lidingö;övriga partier;221;860
0186 Lidingö;ogiltiga valsedlar;38;144
0186 Lidingö;ej röstande;1603;3698
0187 Vaxholm;Moderaterna;2897;3033
0187 Vaxholm;Centerpartiet;3349;580
0187 Vaxholm;Folkpartiet;1432;644
0187 Vaxholm;Kristdemokraterna;69;407
0187 Vaxholm;Miljöpartiet;0;624
0187 Vaxholm;Socialdemokraterna;4704;1119
0187 Vaxholm;Vänsterpartiet;695;235
0187 Vaxholm;Sverigedemokraterna;0;495
0187 Vaxholm;övriga partier;43;247
0187 Vaxholm;ogiltiga valsedlar;33;38
0187 Vaxholm;ej röstande;1092;768
0188 Norrtälje;Moderaterna;3336;10723
0188 Norrtälje;Centerpartiet;7438;2845
0188 Norrtälje;Folkpartiet;1864;1784
0188 Norrtälje;Kristdemokraterna;505;1391
0188 Norrtälje;Miljöpartiet;0;2417
0188 Norrtälje;Socialdemokraterna;10022;11478
0188 Norrtälje;Vänsterpartiet;944;1726
0188 Norrtälje;Sverigedemokraterna;0;4762
0188 Norrtälje;övriga partier;51;1318
0188 Norrtälje;ogiltiga valsedlar;33;454
0188 Norrtälje;ej röstande;2744;6663
0191 Sigtuna;Moderaterna;2173;7406
0191 Sigtuna;Centerpartiet;3968;1055
0191 Sigtuna;Folkpartiet;1406;1237
0191 Sigtuna;Kristdemokraterna;99;1264
0191 Sigtuna;Miljöpartiet;0;1600
0191 Sigtuna;Socialdemokraterna;5920;6930
0191 Sigtuna;Vänsterpartiet;923;1130
0191 Sigtuna;Sverigedemokraterna;0;3137
0191 Sigtuna;övriga partier;68;767
0191 Sigtuna;ogiltiga valsedlar;27;204
0191 Sigtuna;ej röstande;1437;5253
0192 Nynäshamn;Moderaterna;1027;4481
0192 Nynäshamn;Centerpartiet;2698;739
0192 Nynäshamn;Folkpartiet;871;908
0192 Nynäshamn;Kristdemokraterna;121;653
0192 Nynäshamn;Miljöpartiet;0;1082
0192 Nynäshamn;Socialdemokraterna;6036;5198
0192 Nynäshamn;Vänsterpartiet;819;865
0192 Nynäshamn;Sverigedemokraterna;0;2505
0192 Nynäshamn;övriga partier;38;564
0192 Nynäshamn;ogiltiga valsedlar;20;165
0192 Nynäshamn;ej röstande;995;3012
0305 Håbo;Moderaterna;563;4262
0305 Håbo;Centerpartiet;1205;613
0305 Håbo;Folkpartiet;400;613
0305 Håbo;Kristdemokraterna;25;537
0305 Håbo;Miljöpartiet;0;707
0305 Håbo;Socialdemokraterna;1752;3247
0305 Håbo;Vänsterpartiet;215;423
0305 Håbo;Sverigedemokraterna;0;1874
0305 Håbo;övriga partier;8;340
0305 Håbo;ogiltiga valsedlar;9;142
0305 Håbo;ej röstande;323;1803
0319 Älvkarleby;Moderaterna;245;774
0319 Älvkarleby;Centerpartiet;917;187
0319 Älvkarleby;Folkpartiet;299;171
0319 Älvkarleby;Kristdemokraterna;34;132
0319 Älvkarleby;Miljöpartiet;0;229
0319 Älvkarleby;Socialdemokraterna;4681;2840
0319 Älvkarleby;Vänsterpartiet;337;375
0319 Älvkarleby;Sverigedemokraterna;0;1198
0319 Älvkarleby;övriga partier;12;130
0319 Älvkarleby;ogiltiga valsedlar;5;60
0319 Älvkarleby;ej röstande;510;939
0330 Knivsta;Moderaterna;0;2977
0330 Knivsta;Centerpartiet;0;777
0330 Knivsta;Folkpartiet;0;630
0330 Knivsta;Kristdemokraterna;0;653
0330 Knivsta;Miljöpartiet;0;774
0330 Knivsta;Socialdemokraterna;0;2111
0330 Knivsta;Vänsterpartiet;0;383
0330 Knivsta;Sverigedemokraterna;0;1048
0330 Knivsta;övriga partier;0;363
0330 Knivsta;ogiltiga valsedlar;0;113
0330 Knivsta;ej röstande;0;1212
0331 Heby;Moderaterna;438;1443
0331 Heby;Centerpartiet;3255;1156
0331 Heby;Folkpartiet;587;237
0331 Heby;Kristdemokraterna;110;427
0331 Heby;Miljöpartiet;0;315
0331 Heby;Socialdemokraterna;3534;3132
0331 Heby;Vänsterpartiet;394;408
0331 Heby;Sverigedemokraterna;0;1454
0331 Heby;övriga partier;48;252
0331 Heby;ogiltiga valsedlar;12;144
0331 Heby;ej röstande;989;1577
0360 Tierp;Moderaterna;785;2010
0360 Tierp;Centerpartiet;3934;1294
0360 Tierp;Folkpartiet;1059;380
0360 Tierp;Kristdemokraterna;396;390
0360 Tierp;Miljöpartiet;0;553
0360 Tierp;Socialdemokraterna;7445;5669
0360 Tierp;Vänsterpartiet;365;680
0360 Tierp;Sverigedemokraterna;0;1898
0360 Tierp;övriga partier;16;434
0360 Tierp;ogiltiga valsedlar;10;169
0360 Tierp;ej röstande;1156;2273
0380 Uppsala;Moderaterna;13016;30520
0380 Uppsala;Centerpartiet;21381;8135
0380 Uppsala;Folkpartiet;9575;10180
0380 Uppsala;Kristdemokraterna;1287;7108
0380 Uppsala;Miljöpartiet;0;14513
0380 Uppsala;Socialdemokraterna;32791;35382
0380 Uppsala;Vänsterpartiet;5717;10498
0380 Uppsala;Sverigedemokraterna;0;11118
0380 Uppsala;övriga partier;825;9356
0380 Uppsala;ogiltiga valsedlar;161;960
